Высота_м,Температура_К,Давление_Па,Плотность_кг_м3,Скорость_звука_м_с
0,288.15,101325,1.225,340.294
100,287.5,100129,1.21328,339.91
200,286.85,98945.4,1.20165,339.526
300,286.2,97772.8,1.1901,339.141
400,285.55,96611.4,1.17864,338.756
500,284.9,95461.3,1.16727,338.37
600,284.25,94322.3,1.15598,337.984
700,283.6,93194.4,1.14478,337.597
800,282.951,92077.5,1.13365,337.21
900,282.301,90971.5,1.12262,336.823
1000,281.651,89876.3,1.11166,336.435
1100,281.001,88791.8,1.10079,336.047
1200,280.351,87718,1.08999,335.658
1300,279.702,86654.7,1.07928,335.269
1400,279.052,85602,1.06865,334.879
1500,278.402,84559.6,1.0581,334.489
1600,277.753,83527.6,1.04763,334.099
1700,277.103,82505.9,1.03724,333.708
1800,276.453,81494.3,1.02693,333.316
1900,275.804,80492.8,1.0167,332.924
2000,275.154,79501.4,1.00655,332.532
2100,274.504,78519.9,0.996476,332.139
2200,273.855,77548.2,0.986479,331.746
2300,273.205,76586.3,0.97656,331.352
2400,272.556,75634.2,0.966718,330.958
2500,271.906,74691.7,0.956952,330.564
2600,271.257,73758.7,0.947262,330.169
2700,270.607,72835.3,0.937648,329.773
2800,269.958,71921.3,0.928108,329.377
2900,269.308,71016.6,0.918644,328.981
3000,268.659,70121.2,0.909254,328.584
3100,268.01,69234.9,0.899937,328.187
3200,267.36,68357.8,0.890694,327.789
3300,266.711,67489.6,0.881524,327.391
3400,266.062,66630.5,0.872427,326.992
3500,265.412,65780.3,0.863402,326.592
3600,264.763,64938.9,0.854449,326.193
3700,264.114,64106.3,0.845567,325.793
3800,263.464,63282.4,0.836756,325.392
3900,262.815,62467.1,0.828017,324.991
4000,262.166,61660.4,0.819347,324.589
4100,261.517,60862.2,0.810747,324.187
4200,260.868,60072.3,0.802217,323.784
4300,260.219,59290.9,0.793756,323.381
4400,259.57,58517.7,0.785364,322.977
4500,258.921,57752.7,0.777039,322.573
4600,258.272,56995.8,0.768783,322.169
4700,257.623,56247,0.760594,321.763
4800,256.974,55506.2,0.752473,321.358
4900,256.325,54773.3,0.744418,320.952
5000,255.676,54048.3,0.736429,320.545
