Время_с,Высота_м,Скорость_м_с,Температура_К,Плотность_кг_м3,Число_Маха
0,300,83.3333,286.2,1.1901,0.245719
1,310,83.5993,286.135,1.18895,0.246531
2,320,83.8652,286.07,1.18781,0.247343
3,330,84.1312,286.005,1.18666,0.248156
4,340,84.3972,285.94,1.18551,0.248969
5,350,84.6631,285.875,1.18436,0.249782
6,360,84.9291,285.81,1.18322,0.250595
7,370,85.195,285.745,1.18207,0.251408
8,380,85.461,285.68,1.18093,0.252222
9,390,85.727,285.615,1.17979,0.253035
10,400,85.9929,285.55,1.17864,0.253849
11,410,86.2589,285.485,1.1775,0.254663
12,420,86.5248,285.42,1.17636,0.255478
13,430,86.7908,285.355,1.17522,0.256292
14,440,87.0567,285.29,1.17408,0.257107
15,450,87.3227,285.225,1.17295,0.257922
16,460,87.5887,285.16,1.17181,0.258737
17,470,87.8546,285.095,1.17067,0.259552
18,480,88.1206,285.03,1.16954,0.260367
19,490,88.3865,284.965,1.1684,0.261183
20,500,88.6525,284.9,1.16727,0.261999
21,510,88.9184,284.835,1.16614,0.262815
22,520,89.1844,284.77,1.16501,0.263631
23,530,89.4504,284.705,1.16387,0.264447
24,540,89.7163,284.64,1.16274,0.265264
25,550,89.9823,284.575,1.16161,0.26608
26,560,90.2482,284.51,1.16049,0.266897
27,570,90.5142,284.445,1.15936,0.267714
28,580,90.7801,284.38,1.15823,0.268532
29,590,91.0461,284.315,1.15711,0.269349
30,600,91.3121,284.25,1.15598,0.270167
31,610,91.578,284.185,1.15486,0.270985
32,620,91.844,284.12,1.15373,0.271803
33,630,92.1099,284.055,1.15261,0.272621
34,640,92.3759,283.99,1.15149,0.27344
35,650,92.6418,283.925,1.15037,0.274258
36,660,92.9078,283.86,1.14925,0.275077
37,670,93.1738,283.795,1.14813,0.275896
38,680,93.4397,283.73,1.14701,0.276715
39,690,93.7057,283.665,1.14589,0.277535
40,700,93.9716,283.6,1.14478,0.278354
41,710,94.2376,283.535,1.14366,0.279174
42,720,94.5035,283.47,1.14254,0.279994
43,730,94.7695,283.405,1.14143,0.280814
44,740,95.0355,283.34,1.14032,0.281634
45,750,95.3014,283.275,1.1392,0.282455
46,760,95.5674,283.21,1.13809,0.283276
47,770,95.8333,283.145,1.13698,0.284097
48,780,96.0993,283.08,1.13587,0.284918
49,790,96.3652,283.015,1.13476,0.285739
50,800,96.6312,282.951,1.13365,0.286561
51,810,96.8972,282.886,1.13255,0.287382
52,820,97.1631,282.821,1.13144,0.288204
53,830,97.4291,282.756,1.13033,0.289026
54,840,97.695,282.691,1.12923,0.289849
55,850,97.961,282.626,1.12812,0.290671
56,860,98.227,282.561,1.12702,0.291494
57,870,98.4929,282.496,1.12592,0.292317
58,880,98.7589,282.431,1.12482,0.29314
59,890,99.0248,282.366,1.12372,0.293963
60,900,99.2908,282.301,1.12262,0.294786
61,910,99.5567,282.236,1.12152,0.29561
62,920,99.8227,282.171,1.12042,0.296434
63,930,100.089,282.106,1.11932,0.297258
64,940,100.355,282.041,1.11822,0.298082
65,950,100.621,281.976,1.11713,0.298906
66,960,100.887,281.911,1.11603,0.299731
67,970,101.152,281.846,1.11494,0.300556
68,980,101.418,281.781,1.11384,0.301381
69,990,101.684,281.716,1.11275,0.302206
70,1000,101.95,281.651,1.11166,0.303031
71,1010,102.216,281.586,1.11057,0.303857
72,1020,102.482,281.521,1.10948,0.304683
73,1030,102.748,281.456,1.10839,0.305509
74,1040,103.014,281.391,1.1073,0.306335
75,1050,103.28,281.326,1.10621,0.307161
76,1060,103.546,281.261,1.10513,0.307988
77,1070,103.812,281.196,1.10404,0.308814
78,1080,104.078,281.131,1.10295,0.309641
79,1090,104.344,281.066,1.10187,0.310468
80,1100,104.61,281.001,1.10079,0.311296
81,1110,104.876,280.936,1.0997,0.312123
82,1120,105.142,280.871,1.09862,0.312951
83,1130,105.408,280.806,1.09754,0.313779
84,1140,105.674,280.741,1.09646,0.314607
85,1150,105.94,280.676,1.09538,0.315435
86,1160,106.206,280.611,1.0943,0.316264
87,1170,106.472,280.546,1.09322,0.317093
88,1180,106.738,280.481,1.09215,0.317921
89,1190,107.004,280.416,1.09107,0.318751
90,1200,107.27,280.351,1.08999,0.31958
91,1210,107.535,280.287,1.08892,0.320409
92,1220,107.801,280.222,1.08785,0.321239
93,1230,108.067,280.157,1.08677,0.322069
94,1240,108.333,280.092,1.0857,0.322899
95,1250,108.599,280.027,1.08463,0.323729
96,1260,108.865,279.962,1.08356,0.32456
97,1270,109.131,279.897,1.08249,0.32539
98,1280,109.397,279.832,1.08142,0.326221
99,1290,109.663,279.767,1.08035,0.327052
100,1300,109.929,279.702,1.07928,0.327883
101,1310,110.195,279.637,1.07822,0.328715
102,1320,110.461,279.572,1.07715,0.329547
103,1330,110.727,279.507,1.07609,0.330378
104,1340,110.993,279.442,1.07502,0.33121
105,1350,111.259,279.377,1.07396,0.332043
106,1360,111.525,279.312,1.0729,0.332875
107,1370,111.791,279.247,1.07183,0.333708
108,1380,112.057,279.182,1.07077,0.334541
109,1390,112.323,279.117,1.06971,0.335374
110,1400,112.589,279.052,1.06865,0.336207
111,1410,112.855,278.987,1.06759,0.33704
112,1420,113.121,278.922,1.06654,0.337874
113,1430,113.387,278.857,1.06548,0.338708
114,1440,113.652,278.792,1.06442,0.339542
115,1450,113.918,278.727,1.06337,0.340376
116,1460,114.184,278.662,1.06231,0.34121
117,1470,114.45,278.597,1.06126,0.342045
118,1480,114.716,278.532,1.06021,0.34288
119,1490,114.982,278.467,1.05915,0.343715
120,1500,115.248,278.402,1.0581,0.34455
121,1510,115.514,278.337,1.05705,0.345385
122,1520,115.78,278.272,1.056,0.346221
123,1530,116.046,278.207,1.05495,0.347057
