time_s,altitude_m,velocity_ms,mass_kg,fuel_kg,theta_rad,alpha_rad
0,300,83.3333,155000,0,0.0174444,0.0697778
0.1,300.145,83.5981,154999,0.797067,0.0126251,0.0697778
0.2,300.251,83.8674,154998,1.59413,0.00786268,0.0697778
0.3,300.317,84.1412,154998,2.3912,0.00315813,0.0697778
0.4,300.343,84.4196,154997,3.18827,-0.00148748,0.0697778
0.5,300.331,84.7023,154996,3.98533,-0.00607314,0.0697778
0.6,300.279,84.9894,154995,4.7824,-0.0105979,0.0697778
0.7,300.189,85.2808,154994,5.57947,-0.0150607,0.0697778
0.8,300.061,85.5765,154994,6.37653,-0.0194609,0.0697778
0.9,299.894,85.8763,154993,7.1736,-0.0237973,0.0697778
1,299.69,86.1801,154992,7.97067,-0.0280694,0.0697778
1.1,299.448,86.4881,154991,8.76773,-0.0322761,0.0697778
1.2,299.169,86.8,154990,9.5648,-0.0364169,0.0697778
1.3,298.853,87.1158,154990,10.3619,-0.0404909,0.0697778
1.4,298.5,87.4354,154989,11.1589,-0.0444974,0.0697778
1.5,298.111,87.7588,154988,11.956,-0.0484358,0.0697778
1.6,297.687,88.0858,154987,12.7531,-0.0523055,0.0697778
1.7,297.226,88.4165,154986,13.5501,-0.0561058,0.0697778
1.8,296.73,88.7508,154986,14.3472,-0.0598362,0.0697778
1.9,296.199,89.0885,154985,15.1443,-0.0634961,0.0697778
2,295.634,89.4296,154984,15.9413,-0.0670851,0.0697778
2.1,295.035,89.774,154983,16.7384,-0.0706026,0.0697778
2.2,294.401,90.1217,154982,17.5355,-0.0740482,0.0697778
2.3,293.735,90.4726,154982,18.3325,-0.0774216,0.0697778
2.4,293.035,90.8266,154981,19.1296,-0.0807223,0.0697778
2.5,292.303,91.1836,154980,19.9267,-0.0839499,0.0697778
2.6,291.538,91.5436,154979,20.7237,-0.0871042,0.0697778
2.7,290.742,91.9065,154978,21.5208,-0.0901848,0.0697778
2.8,289.914,92.2721,154978,22.3179,-0.0931914,0.0697778
2.9,289.055,92.6406,154977,23.1149,-0.0961239,0.0697778
3,288.166,93.0116,154976,23.912,-0.0989819,0.0697778
3.1,287.247,93.3853,154975,24.7091,-0.101765,0.0697778
3.2,286.298,93.7614,154974,25.5061,-0.104474,0.0697778
3.3,285.32,94.14,154974,26.3032,-0.107108,0.0697778
3.4,284.314,94.521,154973,27.1003,-0.109666,0.0697778
3.5,283.28,94.9042,154972,27.8973,-0.11215,0.0697778
3.6,282.217,95.2896,154971,28.6944,-0.114558,0.0697778
3.7,281.128,95.6771,154971,29.4915,-0.116891,0.0697778
3.8,280.012,96.0667,154970,30.2885,-0.119148,0.0697778
3.9,278.87,96.4583,154969,31.0856,-0.121331,0.0697778
4,277.703,96.8518,154968,31.8827,-0.123437,0.0697778
4.1,276.511,97.247,154967,32.6797,-0.125469,0.0697778
4.2,275.294,97.6441,154967,33.4768,-0.127425,0.0697778
4.3,274.053,98.0428,154966,34.2739,-0.129306,0.0697778
4.4,272.788,98.443,154965,35.0709,-0.131112,0.0697778
4.5,271.501,98.8448,154964,35.868,-0.132843,0.0697778
4.6,270.192,99.2481,154963,36.6651,-0.134498,0.0697778
4.7,268.861,99.6527,154963,37.4621,-0.136079,0.0697778
4.8,267.51,100.059,154962,38.2592,-0.137586,0.0697778
4.9,266.137,100.466,154961,39.0563,-0.139017,0.0697778
5,264.745,100.874,154960,39.8533,-0.140375,0.0697778
5.1,263.334,101.283,154959,40.6504,-0.141658,0.0697778
5.2,261.904,101.694,154959,41.4475,-0.142867,0.0697778
5.3,260.456,102.105,154958,42.2445,-0.144002,0.0697778
5.4,258.991,102.517,154957,43.0416,-0.145064,0.0697778
5.5,257.509,102.93,154956,43.8387,-0.146053,0.0697778
5.6,256.011,103.343,154955,44.6357,-0.146968,0.0697778
5.7,254.497,103.758,154955,45.4328,-0.147811,0.0697778
5.8,252.969,104.172,154954,46.2299,-0.148581,0.0697778
5.9,251.427,104.588,154953,47.0269,-0.149279,0.0697778
6,249.872,105.003,154952,47.824,-0.149905,0.0697778
6.1,248.303,105.419,154951,48.6211,-0.150459,0.0697778
6.2,246.723,105.835,154951,49.4181,-0.150942,0.0697778
6.3,245.132,106.252,154950,50.2152,-0.151353,0.0697778
6.4,243.53,106.668,154949,51.0123,-0.151694,0.0697778
6.5,241.918,107.085,154948,51.8093,-0.151965,0.0697778
6.6,240.297,107.502,154947,52.6064,-0.152166,0.0697778
6.7,238.667,107.918,154947,53.4035,-0.152297,0.0697778
6.8,237.03,108.335,154946,54.2005,-0.152358,0.0697778
6.9,235.386,108.751,154945,54.9976,-0.152351,0.0697778
7,233.736,109.167,154944,55.7947,-0.152275,0.0697778
7.1,232.08,109.582,154943,56.5917,-0.152131,0.0697778
7.2,230.419,109.997,154943,57.3888,-0.151919,0.0697778
7.3,228.754,110.412,154942,58.1859,-0.151639,0.0697778
7.4,227.086,110.826,154941,58.9829,-0.151293,0.0697778
7.5,225.416,111.239,154940,59.78,-0.150879,0.0697778
7.6,223.744,111.652,154939,60.5771,-0.1504,0.0697778
7.7,222.071,112.064,154939,61.3741,-0.149855,0.0697778
